title,artist,genre
I'm Not In Love,10cc,Music > Rock > Soft Rock
Love Song,311,Music > Rock > Reggae Rock
What's Up?,4 Non Blondes,Music > Rock > Folk Rock
The Day Of The Greys,4hero,Music > Electronic > Drum And Bass
I Ran (So Far Away),A Flock Of Seagulls,Music > Electronic > Synthpop
Dime Porque,A.B. Quintanilla III Y Los Kumbia Kings,Music > Cumbia > Cumbia Pop
Dime Quién,A.B. Quintanilla III Y Los Kumbia Kings,Music > Cumbia > Cumbia Pop
Fuiste Mala,A.B. Quintanilla III Y Los Kumbia Kings,Music > Cumbia > Cumbia Pop
Sshh!!,A.B. Quintanilla III Y Los Kumbia Kings,Music > Cumbia > Cumbia Pop
Te Quiero A Tí,A.B. Quintanilla III Y Los Kumbia Kings,Music > Cumbia > Cumbia Pop
"Dancing Queen",ABBA,Music > Disco
"The Winner Takes It All",ABBA,Music > Pop > Pop Ballad
"Back In Black",AC/DC,Music > Rock > Hard Rock
"Highway to Hell",AC/DC,Music > Rock > Hard Rock
"Thunderstruck",AC/DC,Music > Rock > Hard Rock
"Post Traumatic Love",Actors,Music > Rock > Post-Punk
"Rolling in the Deep",Adele,Music > Soul > Pop Soul
"Dos Culpables",Adriana Lucia,Music > Folk > Latin Folk > Vallenato
"Enamórate Como Yo",Adriana Lucia,Music > Folk > Latin Folk > Vallenato
"Llegaste Tú",Adriana Lucia,Music > Folk > Latin Folk > Vallenato
"Olvidarte Es Imposible (Te Amaría)",Adriana Lucia,Music > Folk > Latin Folk > Vallenato
"Amazing",Aerosmith,Music > Rock > Hard Rock > Power Ballad
"Crazy",Aerosmith,Music > Rock > Hard Rock > Power Ballad
"Cryin'",Aerosmith,Music > Rock > Hard Rock > Power Ballad
"Dream On",Aerosmith,Music > Rock > Hard Rock > Power Ballad
"Fallen Angels",Aerosmith,Music > Rock > Hard Rock
"Falling In Love (Is Hard On The Knees)",Aerosmith,Music > Rock > Hard Rock
"Fly Away From Here",Aerosmith,Music > Rock > Hard Rock > Power Ballad
"Hole In My Soul",Aerosmith,Music > Rock > Hard Rock > Power Ballad
"I Don't Want to Miss a Thing (From "Armageddon" Soundtrack)",Aerosmith,Music > Rock > Hard Rock > Power Ballad
"Jaded",Aerosmith,Music > Rock > Alternative Rock
"Pink",Aerosmith,Music > Rock > Blues Rock
"Take on Me",A-Ha,Music > Electronic > Synthpop
"Sexy Boy",Air,Music > Electronic > Downtempo
"Surfing on a Rocket",Air,Music > Electronic > Downtempo
"Lost In Love",Air Supply,Music > Rock > Soft Rock
"El Circo",Albert Zamora Y Talento,Music > Regional Mexicano > Norteño
"Quien Mas Te Adora",Albert Zamora Y Talento,Music > Regional Mexicano > Norteño
"Tu Carcel",Albert Zamora Y Talento,Music > Regional Mexicano > Norteño
"Te Esperaba",Alejandra Guzman,Music > Rock > Soft Rock
"Abrazame",Alejandro Fernández,Music > Regional Mexicano > Ranchera
"Como Quien Pierde una Estrella",Alejandro Fernández,Music > Regional Mexicano > Ranchera
"Cuando Yo Quería Ser Grande",Alejandro Fernández,Music > Regional Mexicano > Ranchera
"Me Dedique a Perderte",Alejandro Fernandez A Duo Con Amaia Montero,Music > Pop > Pop Ballad
"Amiga mía",Alejandro Sanz,Music > Pop > Pop Ballad
"Corazón partío",Alejandro Sanz,Music > Folk > Latin Folk > Flamenco Pop
"Pisando fuerte",Alejandro Sanz,Music > Pop > Pop (Standard)
"Si tú me miras",Alejandro Sanz,Music > Pop > Pop Ballad
"Y, ¿Si fuera ella?",Alejandro Sanz,Music > Pop > Pop Ballad
Sexo Pudor Y Lágrimas,Aleks Syntek,Music > Pop > Pop Ballad
Anhelos,Alfredo Gutierrez,Music > Folk > Latin Folk > Vallenato
Man in the Box,Alice In Chains,Music > Rock > Alternative Rock
No Excuses,Alice In Chains,Music > Rock > Alternative Rock
Rooster (2022 Remaster),Alice In Chains,Music > Rock > Alternative Rock
We Die Young,Alice In Chains,Music > Metal > Heavy Metal
Metalingus,Alter Bridge,Music > Rock > Hard Rock
A Horse with No Name,America,Music > Rock > Folk Rock
La Cumbia Sampuesana,Aniceto Molina,Music > Cumbia
You Should All Be Murdered,Another Sunny Day,Music > Pop > Indie Pop